rank,lemma,pos,freq
150,diventare,v,46915
151,rimanere,v,46342
152,ultimo,adj,46197
153,amare,v,46084
154,notte,n,44958
155,dentro,adv,44585
156,mondo,n,44585
157,bastare,v,43839
158,ragione,n,43802
159,preoccupare,v,43338
160,via,n,43052
161,qua,adv,42949
162,mangiare,v,42515
163,famiglia,n,42031
164,testa,n,41312
165,subito,adv,41191
166,tanto,adv,40833
167,insieme,adv,40807
168,storia,n,40299
169,pregare,v,40025
170,moglie,n,39857
171,vivere,v,39609
172,smettere,v,39551
173,dopo,adv,39402
174,cambiare,v,39212
175,settimana,n,39148
176,tesoro,n,38966
177,restare,v,38155
178,migliore,adj,37963
179,fratello,n,37863
180,macchina,n,37509
181,scusa,n,37409
182,unico,adj,37133
183,aiuto,n,37025
184,bravo,adj,36966
185,occhio,n,36740
186,sperare,v,36576
187,mandare,v,36513
188,scoprire,v,35725
189,vecchio,adj,35316
190,scrivere,v,35110
191,capo,n,34760
192,paura,n,34480
193,meno,adv,34459
194,aprire,v,33790
195,iniziare,v,33775
196,continuare,v,33215
197,piano,n,32984
198,polizia,n,32937
199,vaio,n,32499
200,diavolo,n,32177
201,abbastanza,adv,32104
202,punto,n,32072
203,minuto,n,32053
204,muovere,v,32025
205,bere,v,31940
206,rendere,v,31903
207,felice,adj,31723
208,pagare,v,31598
209,parola,n,31554
210,giro,n,31376
211,merda,n,31220
212,amore,n,31086
213,mano,n,31080
214,avanti,adv,31036
215,fermare,v,30904
216,domanda,n,30848
217,ce,adv,30770
218,dormire,v,30760
219,sera,n,30748
220,città,n,30700
221,buon,adj,30633
222,sedere,v,30364
223,chiudere,v,30264
224,strada,n,30189
225,nemmeno,adv,30118
226,cominciare,v,29999
227,significare,v,29587
228,dollaro,n,28980
229,controllare,v,28942
230,neanche,adv,28937
231,sparare,v,28892
232,comunque,adv,28859
233,porre,v,28859
234,bel,n,28820
235,importante,adj,28724
236,domani,adv,28699
237,trattare,v,28375
238,quasi,adv,28304
239,numero,n,28215
240,porta,n,28091
241,dimenticare,v,28054
242,fantastico,adj,28024
243,giù,adv,27840
244,giocare,v,27555
245,rispondere,v,27544
246,sposare,v,27477
247,fine,n,27472
248,terra,n,27437
249,importare,v,27313
250,funzionare,v,27030
251,incontrare,v,27005
252,prossimo,adj,26921
253,comprare,v,26675
254,salvare,v,26667
255,intendere,v,26571
256,immaginare,v,26564
257,veramente,adv,26555
258,secondo,adj,26448
259,scuola,n,26228
260,indietro,adv,26223
261,seguire,v,25854
262,colpa,n,25784
263,ricevere,v,25783
264,strano,adj,25680
265,invece,adv,25648
266,decidere,v,25516
267,salva,n,25452
268,almeno,adv,25450
269,cuore,n,25370
270,verità,n,25281
271,possibile,adj,25275
272,vincere,v,25149
273,occupare,v,25028
274,stasera,adv,24998
275,prova,n,24965
276,letto,n,24832
277,ricordo,n,24831
278,togliere,v,24748
279,tirare,v,24696
280,faccia,n,24632
281,vicino,adj,24347
282,corpo,n,24253
283,leggere,v,24226
284,però,adv,24225
285,difficile,adj,24219
286,forte,adj,24161
287,stanza,n,24120
288,permettere,v,24109
289,marito,n,23919
290,acqua,n,23799
291,vivo,adj,23536
292,auto,n,23532
293,piede,n,23465
294,nulla,adv,23272
295,malo,adj,23225
296,magari,adv,23076
297,roba,n,22809
298,film,n,22753
299,scegliere,v,22585
300,ieri,adv,22298
301,festa,n,22267
302,sacco,n,22035
303,cioè,adv,21955
304,nascondere,v,21950
305,preparare,v,21904
306,diverso,adj,21883
307,scappare,v,21788
308,qualsiasi,adj,21780
309,gioco,n,21380
310,alto,adj,21342
311,presto,adv,21267
312,toccare,v,21210
313,mancare,v,21146
314,affare,n,20880
315,probabilmente,adv,20858
316,tardo,adj,20823
317,sotto,adj,20743
318,ufficio,n,20698
319,senso,n,20655
320,genere,n,20639
321,cinque,adj,20589
322,guerra,n,20553
323,telefono,n,20484
324,qual,adj,20264
325,lungo,adj,20172
326,squadra,n,20154
327,foto,n,20043
328,libro,n,19958
329,spiegare,v,19836
330,paio,n,19812
331,resto,n,19779
332,stupido,adj,19680
333,pistola,n,19654
334,colpire,v,19652
335,promettere,v,19626
336,traduzione,n,19551
337,entrambi,adj,19527
338,mese,n,19526
339,ben,adv,19467
340,rubare,v,19463
341,divertente,adj,19457
342,sbagliare,v,19439
343,puttana,n,19409
344,conto,n,19396
345,capitano,n,19330
346,caro,adj,19323
347,fermo,adj,19247
348,realtà,n,19240
349,vendere,v,19229
350,carino,adj,19217
351,signorina,n,19116
352,aspetto,n,19116
353,attimo,n,19060
354,libero,adj,18952
355,prego,n,18938
356,quattro,adj,18906
357,motivo,n,18898
358,ordine,n,18897
359,brutto,adj,18820
360,correre,v,18695
361,tizio,n,18668
362,sangue,n,18613
363,interessare,v,18575
364,cane,n,18558
365,esattamente,adv,18527
366,controllo,n,18353
367,pezzo,n,18248
368,coso,n,18152
369,mentire,v,18027
370,mostrare,v,18023
371,spiacere,v,18021
372,jack,n,17912
373,fortuna,n,17547
374,fuoco,n,17539
375,pieno,adj,17461
376,lontano,adj,17322
377,parere,v,17314
378,culo,n,17289
379,imparare,v,17229
380,fidare,v,17163
381,facile,adj,17118
382,odiare,v,16947
383,perfetto,adj,16859
384,divertire,v,16856
385,sorella,n,16823
386,sogno,n,16674
387,saltare,v,16668
388,poco,adv,16641
389,agente,n,16619
390,possibilità,n,16608
391,grosso,adj,16524
392,esatto,adj,16457
393,notizia,n,16352
394,proteggere,v,16350
395,cadere,v,16313
396,fottere,v,16297
397,offrire,v,16263
398,cena,n,16165
399,nullo,adj,16164
400,genitore,n,16152
401,distruggere,v,16097
402,raccontare,v,16051
403,avvocato,n,15987
404,luce,n,15959
405,paese,n,15931
406,rompere,v,15925
407,duro,adj,15910
408,causa,n,15789
409,attenzione,n,15768
410,vittima,n,15750
411,accadere,v,15731
412,buongiorno,n,15702
413,girare,v,15592
414,zitto,adj,15572
415,matrimonio,n,15519
416,cura,n,15486
417,accettare,v,15455
418,buttare,v,15440
419,milione,n,15380
420,cavolo,n,15356
421,partire,v,15356
422,esistere,v,15344
423,preferire,v,15296
424,nave,n,15287
425,messaggio,n,15260
426,pure,adv,15240
427,sicurezza,n,15158
428,ospedale,n,15134
429,campo,n,15133
430,ottimo,adj,15042
431,giovane,adj,14892
432,attento,adj,14859
433,situazione,n,14848
434,adorare,v,14766
435,stronzo,n,14743
436,inizio,n,14732
437,pace,n,14714
438,ottenere,v,14689
439,cliente,n,14687
440,dietro,adv,14684
441,chiave,n,14684
442,arrabbiare,v,14491
443,maggiore,adj,14457
444,umano,adj,14447
445,colpo,n,14440
446,sesso,n,14424
447,guidare,v,14289
448,the,n,14281
449,speciale,adj,14216
450,ringraziare,v,14154
451,piangere,v,14088
452,svegliare,v,14082
453,nero,adj,14070
454,crescere,v,14066
455,perciò,adv,14045
456,carta,n,14002
457,chiaro,adj,13981
458,aria,n,13964
459,valere,v,13943
460,contro,adv,13932
461,combattere,v,13833
462,presentare,v,13800
463,bagno,n,13758
464,passo,n,13749
465,piuttosto,adv,13709
466,vista,n,13703
467,informazione,n,13692
468,omicidio,n,13681
469,giornata,n,13647
470,sistema,n,13620
471,serio,n,13595
472,scorso,adj,13566
473,spaventare,v,13560
474,gruppo,n,13536
475,prigione,n,13516
476,creare,v,13494
477,cielo,n,13484
478,fondo,n,13477
479,palla,n,13435
480,servizio,n,13403
481,vestito,n,13368
482,rapporto,n,13290
483,semplice,adj,13264
484,suonare,v,13259
485,re,n,13237
486,convincere,v,13208
487,intero,adj,13169
488,grado,n,13168
489,assicurare,v,13166
490,presidente,n,13152
491,assolutamente,adv,13140
492,mezzo,n,13124
493,onore,n,13119
494,viaggio,n,13090
495,gran,adj,13034
496,pazzo,adj,12982
497,benissimo,adv,12960
498,bianco,adj,12951
499,alzare,v,12925
500,capello,n,12924
501,contento,adj,12922
502,errore,n,12913
503,calmare,v,12847
504,intenzione,n,12829
505,camera,n,12815
506,tranquillo,adj,12693
507,scherzare,v,12662
508,fregare,v,12608
509,caffè,n,12605
510,gamba,n,12570
511,insegnare,v,12541
512,qualunque,adj,12493
513,risposta,n,12489
514,tagliare,v,12445
515,veloce,adj,12404
516,sistemare,v,12400
517,fretta,n,12316
518,voce,n,12277
519,arrivo,n,12246
520,bocca,n,12127
521,scelta,n,12090
522,lettera,n,12038
523,appuntamento,n,11998
524,revisione,n,11980
525,scommettere,v,11976
526,effetto,n,11925
527,braccio,n,11891
528,ridere,v,11803
529,raggiungere,v,11803
530,indossare,v,11771
531,diritto,n,11710
532,scena,n,11695
533,circa,adv,11652
534,cattivo,adj,11602
535,cibo,n,11594
536,cavallo,n,11574
537,considerare,v,11570
538,sparire,v,11399
539,riprendere,v,11395
540,comportare,v,11387
541,americano,adj,11362
542,soltanto,adv,11339
543,rovinare,v,11338
544,insomma,adv,11292
545,riguardare,v,11291
546,risolvere,v,11288
547,perdonare,v,11218
548,battere,v,11216
549,finalmente,adv,11203
550,temere,v,11202
551,generale,adj,11089
552,riportare,v,11084
553,programma,n,11079
554,normale,adj,11063
555,riguardo,n,11046
556,guardia,n,11020
557,incredibile,adj,10975
558,regola,n,10975
559,liberare,v,10975
560,guaio,n,10931
561,ammazzare,v,10911
562,incidente,n,10862
563,semplicemente,adv,10824
564,fingere,v,10806
565,compagnia,n,10802
566,cristo,n,10785
567,avvicinare,v,10755
568,costruire,v,10753
569,nascere,v,10737
570,natale,n,10719
571,cantare,v,10702
572,spalla,n,10692
573,consiglio,n,10670
574,attaccare,v,10651
575,laggiù,adv,10568
576,studio,n,10560
577,fortunato,adj,10557
578,incontro,n,10502
579,ricerca,n,10489
580,zio,n,10480
581,completamente,adv,10475
582,dieci,adj,10474
583,bisognare,v,10446
584,centro,n,10427
585,coraggio,n,10399
586,base,n,10393
587,oltre,adv,10386
588,mantenere,v,10347
589,riconoscere,v,10336
590,salire,v,10328
591,linea,n,10322
592,pulire,v,10313
593,segreto,n,10308
594,lista,n,10289
595,rivedere,v,10280
596,soldato,n,10273
597,arrestare,v,10230
598,segno,n,10217
599,addio,n,10182
600,occhiata,n,10126
601,terribile,adj,10110
602,futuro,n,10100
603,ammettere,v,10048
604,relazione,n,10037
605,camminare,v,10027
606,denaro,n,10023
607,pericoloso,adj,10016
608,questione,n,10014
609,interessante,adj,10007
610,dolore,n,9989
611,chiamata,n,9943
612,sopra,adv,9936
613,sbrigare,v,9927
614,biglietto,n,9911
615,contatto,n,9907
616,metà,n,9903
617,ormai,adv,9828
618,ritardo,n,9802
619,posizione,n,9802
620,contare,v,9797
621,simile,adj,9776
622,rosso,adj,9765
623,dicare,v,9760
624,desiderare,v,9746
625,solito,n,9734
626,gentile,adj,9724
627,detective,n,9719
628,cervello,n,9653
629,droga,n,9627
630,trasferire,v,9613
631,spesso,adv,9551
632,ovviamente,adv,9527
633,proposito,n,9509
634,bloccare,v,9491
635,aereo,adj,9473
636,dimostrare,v,9466
637,musica,n,9437
638,sbagliato,adj,9411
639,zona,n,9403
640,fame,n,9398
641,rilassare,v,9394
642,legge,n,9385
643,spingere,v,9365
644,crimine,n,9358
645,intorno,adv,9344
646,luogo,n,9316
647,compagno,n,9294
648,bruciare,v,9293
649,evitare,v,9280
650,negozio,n,9278
651,benvenuto,n,9257
652,abbandonare,v,9248
653,coprire,v,9248
654,necessario,adj,9229
655,appartamento,n,9223
656,tentare,v,9206
657,continuo,adj,9190
658,decisione,n,9187
659,arma,n,9175
660,caldo,adj,9172
661,vestire,v,9163
662,idiota,adj,9148
663,regalo,n,9144
664,missione,n,9107
665,dolce,adj,9081
666,canzone,n,9062
667,affrontare,v,9039
668,schifo,n,9026
669,meritare,v,9022
670,baciare,v,9011
671,mille,adj,8997
672,firmare,v,8960
673,ordinare,v,8894
674,medico,n,8877
675,birra,n,8877
676,ferire,v,8863
677,compleanno,n,8850
678,notare,v,8843
679,fronte,n,8842
680,pranzo,n,8834
681,innamorare,v,8833
682,invitare,v,8833
683,dirigere,v,8815
684,anima,n,8808
685,partita,n,8807
686,torno,n,8772
687,ballare,v,8757
688,spostare,v,8734
689,scarpa,n,8721
690,bar,n,8719
691,meraviglioso,adj,8698
692,ripetere,v,8679
693,lezione,n,8673
694,guadagnare,v,8671
695,attacco,n,8665
696,addosso,adv,8655
697,forma,n,8609
698,giuro,n,8587
699,volare,v,8566
700,davanti,adj,8529
701,visita,n,8500
702,unire,v,8491
703,coinvolgere,v,8488
704,livello,n,8475
705,scherzo,n,8472
706,casino,n,8440
707,dì,n,8429
708,serata,n,8415
709,tv,n,8397
710,bomba,n,8357
711,stanco,adj,8339
712,sala,n,8310
713,spazio,n,8306
714,povero,adj,8282
715,organizzare,v,8274
716,azione,n,8231
717,rischio,n,8217
718,soffrire,v,8182
719,sorprendere,v,8180
720,volo,n,8171
721,silenzio,n,8151
722,guardo,n,8138
723,licenziare,v,8131
724,computer,n,8130
725,cellulare,adj,8126
726,stella,n,8120
727,accompagnare,v,8114
728,metro,n,8106
729,ritornare,v,8097
730,oro,n,8088
731,specie,n,8073
732,studiare,v,8066
733,supporre,v,8063
734,codice,n,8062
735,impazzire,v,8060
736,sorpresa,n,8053
737,documento,n,8041
738,borsa,n,8036
739,intelligente,adj,8024
740,scendere,v,8016
741,rimettere,v,8013
742,rispetto,n,8001
743,dito,n,7989
744,terzo,adj,7967
745,paziente,n,7955
746,ballo,n,7952
747,assumere,v,7947
748,santo,adj,7941
749,pericolo,n,7940
750,buonanotte,n,7922
751,occasione,n,7918
752,tenente,n,7890
753,sette,adj,7866
754,calmo,adj,7864
755,banca,n,7851
756,operazione,n,7830
757,superare,v,7819
758,altrimenti,adv,7799
759,corso,n,7792
760,albero,n,7787
761,esercito,n,7776
762,scomparire,v,7774
763,stà,v,7765
764,stanotte,adv,7760
765,personale,adj,7747
766,sergente,n,7720
767,finestra,n,7718
768,classe,n,7717
769,reale,adj,7717
770,governo,n,7715
771,ve,adv,7705
772,pena,n,7693
773,test,n,7688
774,esempio,n,7673
775,lato,n,7672
776,sicuramente,adv,7649
777,mostro,n,7648
778,tavolo,n,7610
779,henry,n,7609
780,impossibile,adj,7605
781,costringere,v,7573
782,caccia,n,7560
783,inglese,adj,7551
784,barca,n,7543
785,club,n,7542
786,chiesa,n,7535
787,mare,n,7532
788,fata,n,7529
789,pianeta,n,7517
790,ricco,adj,7501
791,nemico,n,7492
792,scopare,v,7487
793,età,n,7464
794,nonno,n,7459
795,certamente,adv,7456
796,consegnare,v,7449
797,sopportare,v,7437
798,stamattina,adv,7429
799,don,n,7425
800,ex,adj,7424
801,giudice,n,7422
802,discutere,v,7409
803,peccato,n,7406
804,figliolo,n,7392
805,cambio,n,7386
806,presente,adj,7376
807,apprezzare,v,7338
808,treno,n,7334
809,dannazione,n,7321
810,spettacolo,n,7300
811,assassino,n,7287
812,trasformare,v,7282
813,infatti,adv,7279
814,società,n,7278
815,salute,n,7234
816,speranza,n,7230
817,và,v,7221
818,compito,n,7217
819,pensiero,n,7217
820,inferno,n,7210
821,privato,adj,7208
822,richiedere,v,7195
823,puro,adj,7192
824,pesce,n,7187
825,libertà,n,7184
826,tradire,v,7183
827,gay,n,7178
828,accendere,v,7168
829,processo,n,7144
830,progetto,n,7129
831,immagine,n,7127
832,fidanzato,n,7122
833,studente,n,7085
834,bastardo,adj,7084
835,segnale,n,7073
836,colonnello,n,7061
837,rifiutare,v,7055
838,giornale,n,7049
839,traccia,n,7035
840,energia,n,7028
841,accidente,n,7021
842,comando,n,7015
843,pelle,n,7006
844,cucina,n,7002
845,fiore,n,7002
846,affatto,adv,6987
847,scatola,n,6987
848,differenza,n,6981
849,accorgersi,v,6980
850,dunque,adv,6974
851,basso,adj,6966
852,ritrovare,v,6966
853,respirare,v,6950
854,campione,n,6949
855,aperto,adj,6940
856,beccare,v,6929
857,pomeriggio,n,6916
858,maledizione,n,6907
859,colore,n,6899
860,vino,n,6893
861,spirito,n,6893
862,interno,adj,6883
863,risultato,n,6870
864,sopravvivere,v,6855
865,allontanare,v,6848
866,gestire,v,6832
867,carne,n,6806
868,fallo,n,6796
869,luna,n,6772
870,ovunque,adv,6762
871,raccogliere,v,6762
872,fà,v,6758
873,pressione,n,6756
874,professore,n,6753
875,sentito,adj,6715
876,fuggire,v,6713
877,eroe,n,6677
878,avvertire,v,6677
879,urlare,v,6676
880,gettare,v,6651
881,lingua,n,6636
882,anello,n,6636
883,enorme,adj,6623
884,naturalmente,adv,6563
885,cadavere,n,6556
886,edificio,n,6548
887,ritorno,n,6520
888,legare,v,6498
889,otto,adj,6487
890,appartenere,v,6474
891,rispettare,v,6472
892,incinta,adj,6468
893,muro,n,6461
894,malato,adj,6457
895,causare,v,6441
896,hotel,n,6428
897,prezzo,n,6411
898,mica,adv,6409
899,esperienza,n,6400
900,condizione,n,6381
901,agire,v,6369
902,grave,adj,6366
903,accusa,n,6353
904,sinistra,n,6348
905,riposare,v,6308
906,passaggio,n,6307
907,concentrare,v,6306
908,ridicolo,adj,6301
909,desiderio,n,6285
910,chiuso,adj,6283
911,orribile,adj,6279
912,picchiare,v,6276
913,esame,n,6273
914,levare,v,6256
915,riunione,n,6250
916,lanciare,v,6249
917,impegnare,v,6234
918,medicina,n,6230
919,sognare,v,6200
920,magnifico,adj,6183
921,dipendere,v,6160
922,coppia,n,6159
923,inutile,adj,6157
924,peggiore,adj,6155
925,interesse,n,6129
926,fantasma,n,6128
927,membro,n,6127
928,grandioso,adj,6098
929,entrata,n,6097
930,sveglio,adj,6096
931,congratulazione,n,6060
932,ascolto,n,6046
933,indirizzo,n,6036
934,bordo,n,6033
935,fumare,v,6023
936,resistere,v,6017
937,registrare,v,6017
938,episodio,n,6016
939,danno,n,6009
940,accusare,v,6009
941,recuperare,v,6005
942,laboratorio,n,5999
943,condurre,v,5994
944,periodo,n,5987
945,uscita,n,5973
946,corre,v,5952
947,richiamare,v,5940
948,mossa,n,5928
949,lavare,v,5927
950,ritirare,v,5907
951,gatto,n,5905
952,sceriffo,n,5894
953,cacciare,v,5892
954,difesa,n,5877
955,fermato,n,5874
956,stia,n,5874
957,unità,n,5869
958,godere,v,5867
959,difendere,v,5864
960,odore,n,5861
961,inventare,v,5858
962,collega,n,5855
963,attore,n,5849
964,calma,n,5838
965,poliziotto,adj,5833
966,inoltre,adv,5827
967,famoso,adj,5823
968,offerta,n,5819
969,capitare,v,5812
970,litigare,v,5809
971,discorso,n,5807
972,rosa,n,5805
973,abbassare,v,5787
974,ristorante,n,5783
975,cavare,v,5782
976,dente,n,5778
977,destino,n,5772
978,malattia,n,5764
979,indovinare,v,5761
980,sbattere,v,5757
981,testimone,n,5753
982,turno,n,5747
983,rischiare,v,5743
984,battaglia,n,5742
985,naso,n,5730
986,dettaglio,n,5712
987,catturare,v,5710
988,stazione,n,5699
989,immediatamente,adv,5682
990,disturbare,v,5668
991,sentimento,n,5663
992,impedire,v,5663
993,sud,n,5661
994,riferire,v,5655
995,emergenza,n,5651
996,porco,adj,5650
997,tè,n,5648
998,carriera,n,5640
999,faccenda,n,5631
1000,bob,n,5628
1001,sexy,adj,5617
1002,isola,n,5606
1003,durare,v,5600
1004,francese,adj,5598
1005,regina,n,5584
1006,comprendere,v,5580
1007,attraversare,v,5578
1008,padrone,n,5576
1009,telefonata,n,5563
1010,scala,n,5532
1011,confermare,v,5526
1012,dichiarare,v,5525
1013,colazione,n,5523
1014,contattare,v,5521
1015,arresto,n,5520
1016,collo,n,5519
1017,commettere,v,5518
1018,curare,v,5518
1019,memoria,n,5516
1020,coltello,n,5516
1021,legale,adj,5509
1022,opera,n,5496
1023,capace,adj,5494
1024,razza,n,5490
1025,indagine,n,5486
1026,seguito,n,5483
1027,guardata,n,5460
1028,fiducia,n,5456
1029,destra,n,5448
1030,porgere,v,5445
1031,animale,n,5435
1032,osso,n,5432
1033,leggero,adj,5430
1034,valore,n,5422
1035,verde,adj,5416
1036,sospettare,v,5415
1037,mollare,v,5413
1038,scaricare,v,5409
1039,arte,n,5407
1040,informare,v,5407
1041,cugino,n,5395
1042,cancellare,v,5390
1043,sensazione,n,5387
1044,scopo,n,5385
1045,dividere,v,5373
1046,sole,n,5372
1047,militare,adj,5371
1048,porto,n,5370
1049,stagione,n,5356
1050,data,n,5346
1051,locale,adj,5342
1052,uccello,n,5329
1053,FALSO,adj,5326
1054,peso,n,5321
1055,sorridere,v,5319
1056,opportunità,n,5314
1057,nove,adj,5306
1058,arrendere,v,5306
1059,puntare,v,5302
1060,direttore,n,5296
1061,bottiglia,n,5283
1062,interrompere,v,5277
1063,vacanza,n,5274
1064,telecamera,n,5274
1065,pagina,n,5258
1066,procedere,v,5237
1067,trattenere,v,5235
1068,nervoso,adj,5233
1069,rumore,n,5231
1070,giurare,v,5210
1071,innocente,adj,5209
1072,furgone,n,5188
1073,persino,adv,5185
1074,radio,n,5183
1075,principale,adj,5178
1076,soprattutto,adv,5174
1077,guida,n,5173
1078,dipartimento,n,5171
1079,fissare,v,5169
1080,buco,n,5167
1081,perdita,n,5167
1082,precedente,adj,5164
1083,tribunale,n,5164
1084,costare,v,5139
1085,torta,n,5138
1086,college,n,5137
1087,obiettivo,n,5136
1088,infermiere,n,5135
1089,fiume,n,5133
1090,spada,n,5122
1091,completo,adj,5122
1092,angolo,n,5089
1093,proiettile,n,5088
1094,suggerire,v,5088
1095,accanto,adv,5084
1096,maestro,n,5079
1097,teoria,n,5076
1098,freddo,n,5074
1099,condividere,v,5074
1100,natura,n,5072
1101,esplodere,v,5071
1102,università,n,5070
1103,piantare,v,5067
1104,vuoto,adj,5065
1105,sedia,n,5056
1106,collegare,v,5052
1107,ponte,n,5049
1108,montagna,n,5038
1109,superiore,adj,5021
1110,dubbio,n,5013
1111,minacciare,v,5013
1112,villaggio,n,5012
1113,stringere,v,5010
1114,taxi,n,5009
1115,possedere,v,5007
1116,ufficiale,adj,5005
1117,contratto,n,5004
1118,termine,n,4998
1119,fede,n,4996
1120,sbaglio,n,4986
1121,conoscenza,n,4986
1122,scordare,v,4986
1123,identificare,v,4981
1124,confondere,v,4979
1125,risparmiare,v,4979
1126,miss,n,4978
1127,peggio,adj,4975
1128,restituire,v,4971
1129,dato,n,4969
1130,bicchiere,n,4957
1131,bacio,n,4949
1132,lupo,n,4942
1133,cerchio,n,4939
1134,riempire,v,4936
1135,inviare,v,4934
1136,onesto,adj,4928
1137,antico,adj,4928
1138,pausa,n,4909
1139,attraverso,adv,4895
1140,fallare,v,4891
1141,osservare,v,4881
1142,aggiungere,v,4865
1143,nipote,n,4852
1144,ricominciare,v,4852
1145,chissà,adv,4845
1146,responsabilità,n,4842
1147,giustizia,n,4824
1148,sostenere,v,4823
1149,impronta,n,4820
1150,viaggiare,v,4816
1151,vampiro,n,4810
1152,abituare,v,4803
1153,ritenere,v,4800
1154,reggere,v,4774
1155,ovvio,adj,4770
1156,do,n,4769
1157,pugno,n,4764
1158,rinunciare,v,4760
1159,uovo,n,4759
1160,concedere,v,4735
1161,attività,n,4734
1162,pilota,n,4718
1163,popolo,n,4714
1164,deludere,v,4706
1165,sessuale,adj,4701
1166,area,n,4697
1167,praticamente,adv,4694
1168,fianco,n,4681
1169,tiro,n,4680
1170,stavolta,adv,4678
1171,profondo,adj,4676
1172,orologio,n,4672
1173,merito,n,4671
1174,nord,n,4664
1175,estate,n,4664
1176,giudicare,v,4662
1177,sporco,adj,4659
1178,ospite,n,4657
1179,nudo,adj,4657
1180,cappello,n,4656
1181,taglio,n,4655
1182,rapire,v,4649
1183,serie,n,4646
1184,spendere,v,4645
1185,pantalone,n,4643
1186,socio,n,4631
1187,voto,n,4624
1188,video,n,4619
1189,buonasera,n,4580
1190,ridurre,v,4580
1191,assurdo,adj,4579
1192,stile,n,4576
1193,procurare,v,4574
1194,conversazione,n,4563
1195,schiena,n,4558
1196,naturale,adj,4550
1197,separare,v,4548
1198,accesso,n,4542
1199,fucile,n,4534
1200,festeggiare,v,4529
1201,contrario,n,4524
1202,osare,v,4523
1203,movimento,n,4522
1204,combinare,v,4521
1205,rivelare,v,4521
1206,rappresentare,v,4518
1207,limite,n,4517
1208,sigaretta,n,4508
1209,eliminare,v,4507
1210,mercato,n,4501
1211,oggetto,n,4500
1212,massimo,n,4499
1213,abito,n,4495
1214,comandante,n,4488
1215,secolo,n,4487
1216,sguardo,n,4486
1217,suono,n,4480
1218,camion,n,4478
1219,debole,adj,4475
1220,pietra,n,4471
1221,comune,adj,4468
1222,tetto,n,4467
1223,richiesta,n,4456
1224,pista,n,4455
1225,evento,n,4430
